HP_name;PlotID_2;PAG;Precision;Center_x_coordinate;Center_y_coordinate;Date;Year;Canton;Municipality;Altitude_original;Species_richness;SqFt_ID;F;R;N;L;T;K;Nr_cuts;Nr_cuts_before_record;Soil;Content_of_Ca;Bedrock;Light_cond;Water_balance;Inclination;Exposition;Fertil_y_n;Fertil_frequ;Fertil_type;Fertil_treatment;Land_use;Land_use_2;Grazing_animal;EUNIS_class;EUNIS_habitat name;Type_of_classification;Total_biomass;vegetation type;Class (Mucina et al. 2016);Order (Mucina et al. 2016)
HP_506;506;506;324.5875255;8.802903543;47.31179147;19.09.1893;1893;ZH;Wetzikon;538;18;506;3.533333333;3.25;3.2;3.3125;3.233333333;3.133333333;;;boggy loam;;;;weakly irrigated;;;;;;;litter meadow;meadow;;R35; Moist or wet mesotrophic to eutrophic hay meadow;1;41.961;B.4 Wet grasslands;Molinio-Arrhenatheretea;Molinietalia caeruleae
HP_507;507;507;1873.447971;8.805482122;47.31830655;03.07.1895;1895;ZH;Wetzikon;550;22;507;3.657894737;3.25;2.473684211;3.571428571;3.111111111;3;;;fault gorge;2;;;wet;;;;;;;litter meadow;meadow;;;;;43.341;;;
HP_508;508;508;161.6514334;8.600255067;47.33801385;07.07.1886;1886;ZH;Zollikon;628;20;508;3.147058824;3.470588235;2.411764706;3.684210526;3.09375;3.1875;;;bog soil;;;;not drained;0;;no;;;;litter meadow;meadow;;;;;20.725;;;
HP_509;509;508;161.6514334;8.600255067;47.33801385;NA;1886;ZH;Zollikon;628;17;509;2.9375;3.117647059;3.375;3.647058824;3.107142857;3.125;;;bog soil;;;;drained;;;yes;;mixture from stable manure and artificial fertiliser;;meadow;meadow;;R22; Low and medium altitude hay meadow;1;41.937;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_511;511;508;161.6514334;8.600255067;47.33801385;01.07.1886;1886;ZH;Zollikon;628;19;511;2.8125;2.9375;2.75;3.529411765;3.269230769;3.071428571;;;bog soil;;;;;0;;;;;;meadow;meadow;;R23; Mountain hay meadow;2;30.178;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_512;512;512;288.865514;8.580933094;47.3422055;25.07.1886;1886;ZH;Zollikon;520;19;512;3.088235294;3.222222222;3.294117647;3.555555556;3.266666667;2.9375;;;mild, humic loam;;molasse;;fresh;gentle slope;SSW;yes;;night soil and abattoir slurry;;meadow;meadow;;R22; Low and medium altitude hay meadow;1;23.712;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_513;513;508;161.6514334;8.600255067;47.33801385;07.06.1886;1886;ZH;Zollikon;628;32;513;2.75;3.266666667;2.966666667;3.625;3.346153846;3.214285714;;;bog soil;;;;drained;0;;yes;;artificial fertiliser;Kalisuperphosphat;meadow;meadow;;R22; Low and medium altitude hay meadow;1;57.625;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_514;514;443;151.1394388;8.550383141;47.37420228;22.05.1886;1886;ZH;Zürich;460;18;514;3.083333333;3.277777778;3.444444444;3.5;3.382352941;3.117647059;;;mild, humic clay;;;;;0;;yes;;stable manure;;meadow;meadow;;R22; Low and medium altitude hay meadow;1;87.891;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_515;515;515;169.4625338;8.552008052;47.37661162;11.06.1887;1887;ZH;Zürich;460;13;515;3.333333333;3.25;3.833333333;3.583333333;3.454545455;2.909090909;;1. cut;;;;;;0;;;;;;litter meadow;meadow;;R21; Mesic permanent pasture of lowlands and mountains;1;NA;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Poo alpinae-Trisetetalia
HP_516;516;516;83.81985701;8.495714386;47.35639496;29.06.1886;1886;ZH;Zürich;590;28;516;2.708333333;3.458333333;2.333333333;3.72;3.285714286;3.363636364;;;cohesive clay;1;molasse;;humid;15;NE;no;;;;meadow;meadow;;R1A; Semi-dry perennial calcareous grassland (meadow steppe);1;5.136;B.2 Meso-xeric grasslands;Festuco-Brometea;Brachypodietalia pinnati
HP_517;517;516;83.81985701;8.495714386;47.35639496;29.06.1886;1886;ZH;Zürich;590;36;517;2.90625;3.411764706;2.515151515;3.6;3.224137931;3.233333333;;;cohesive clay;1;molasse;;humid;15;NE;yes;every 2nd year;manure;;meadow;meadow;;R1A; Semi-dry perennial calcareous grassland (meadow steppe);1;12.64;B.2 Meso-xeric grasslands;Festuco-Brometea;Brachypodietalia pinnati
HP_518;518;518;110.128599;8.497457435;47.35436838;29.06.1886;1886;ZH;Zürich;590;34;518;2.822580645;3.393939394;2.46875;3.617647059;3.321428571;3.310344828;;;cohesive clay;1;molasse;;humid;15;NE;yes;every 2nd year;manure;;meadow;meadow;;R1A; Semi-dry perennial calcareous grassland (meadow steppe);1;19.018;B.2 Meso-xeric grasslands;Festuco-Brometea;Brachypodietalia pinnati
HP_519;519;518;110.128599;8.497457435;47.35436838;29.06.1886;1886;ZH;Zürich;590;33;519;3.016666667;3.21875;3.1;3.71875;3.192307692;3.071428571;;;cohesive clay;1;molasse;;humid;15;NE;yes;every 2nd year;manure;;meadow;meadow;;R22; Low and medium altitude hay meadow;1;63.75;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_520;520;520;208.650911;8.486400301;47.42835985;19.09.1893;1893;ZH;Zürich;443;13;520;3.5;3.272727273;2.583333333;3.5;3.208333333;3.083333333;;;bog soil, pale clay, carbon on the upper zone;;;;wet;;;no;;;;litter meadow;meadow;;Q43;;1;37.629;C.6 Mires and springs ;Scheuchzerio palustris-Caricetea fuscae;Caricetalia davallianae
HP_521;521;521;336.1378561;8.488995827;47.43251331;19.09.1893;1893;ZH;Zürich;444;9;521;3.277777778;3.375;2.222222222;3.777777778;3.111111111;3.222222222;;;bog soil, acid;;;;;;;;;;;litter meadow;meadow;;Q43; Tall-sedge base-rich fen;1;35.903;C.6 Mires and springs ;Scheuchzerio palustris-Caricetea fuscae;Caricetalia davallianae
HP_522;522;522;680.0773479;8.492710654;47.43482053;19.09.1893;1893;ZH;Zürich;445;5;522;4.2;1.5;1.6;4;3;2.6;;;raised bog  ;;;;;;;no;;;;;;;;;1;16.955;;;
HP_523;523;521;336.1378561;8.488995827;47.43251331;19.09.1893;1893;ZH;Zürich;444;9;523;3.222222222;2.75;2.222222222;3.777777778;3.0625;3.125;;;bog soil, acid;;;;;;;no;;;;litter meadow;meadow;;Q43;;1;34.205;C.6 Mires and springs ;Scheuchzerio palustris-Caricetea fuscae;Caricetalia davallianae
HP_524;524;522;680.0773479;8.492710654;47.43482053;19.09.1893;1893;ZH;Zürich;445;4;524;4.125;1.333333333;1.75;4;3;2.75;;;spongy bog;;;;;;;no;;;;raised bog;;;;;1;27.577;;;
HP_525;525;522;680.0773479;8.492710654;47.43482053;19.09.1893;1893;ZH;Zürich;445;3;525;3.833333333;2.5;2.333333333;3.666666667;2.833333333;2.666666667;;;bog soil;;;;;;;no;;;;;;;S42; Dry heath;1;39.762;D.1 Lowland heathlands;Calluno-Ulicetea;Vaccinio myrtilli-Genistetalia pilosae
HP_526;526;526;73.72129937;8.491963641;47.35322052;142;1900;ZH;Zürich;780;7;526;2.785714286;3.6;2.714285714;2.666666667;3.428571429;3.166666667;;;humic loam, superficially humus-rich;;;;fresh;;;;;;;pasture;pasture;;;;1;8.177;;;
HP_527;527;527;693.0441409;8.490021084;47.35230087;142;1900;ZH;Zürich;735;8;527;2.8125;3.166666667;2.75;2.428571429;3.142857143;2.833333333;;;humus from forest;;;;;;;;;;;forest ;;;R55; Lowland moist or wet tall-herb and fern fringe;3;12.927;E.2 Ruderal communities/E.1 Tall forb communities;;
HP_529;529;535;494.277868;8.496134334;47.35583909;29.06.1886;1886;ZH;Zürich;590;27;529;3;3.291666667;2.791666667;3.6;3.166666667;3.090909091;;;cohesive clay;1;molasse;;humid;15;NE;yes;every 2nd year;manure;;meadow;meadow;;R22; Low and medium altitude hay meadow;1;6.299;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_530;530;533;485.6202128;8.499146095;47.39419588;2105;1905;ZH;Zürich;400;18;530;3.0625;3.294117647;3.625;3.588235294;3.433333333;3.266666667;;;sandy loam;;;;;;;yes;;night soil  ;;pasture;pasture;sheep;R22; Low and medium altitude hay meadow;1;31.056;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_532;532;532;2571.994147;8.496615029;47.38979644;2698;1907;ZH;Zürich;400;23;532;2.833333333;3.181818182;3.476190476;3.636363636;3.236842105;3.25;;;sandy loam;;;;;;;no;;formerly night soil;;pasture;pasture;sheep;R22; Low and medium altitude hay meadow;1;23.045;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_533;533;533;485.6202128;8.499146095;47.39419588;2105;1905;ZH;Zürich;400;16;533;2.933333333;3.1875;3.533333333;3.625;3.321428571;3.2;;;sandy loam;;;;;;;yes;;night soil  ;;meadow;meadow;;R22; Low and medium altitude hay meadow;1;39.947;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_534;534;533;485.6202128;8.499146095;47.39419588;2698;1907;ZH;Zürich;400;21;534;3;3.25;3.526315789;3.55;3.294117647;3.166666667;;;sandy loam;;;;;;;no;;;;pasture;pasture;sheep;R22; Low and medium altitude hay meadow;1;62.94;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_535;535;535;494.277868;8.496134334;47.35583909;29.06.1886;1886;ZH;Zürich;590;27;535;2.895833333;3.24;3.125;3.56;3.181818182;3.173913043;;;cohesive clay;1;molasse;;humid;15;NE;yes;every 2nd year;manure;;meadow;meadow;;R22; Low and medium altitude hay meadow;1;27.119;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_536;536;536;172.714692;8.508834969;47.43268705;05.06.1894;1894;ZH;Zürich;442;13;536;3.083333333;3.333333333;2.583333333;3.692307692;3.166666667;3.25;;;blue clay on boggy fault gouge;2;;;wet;;;;;;;litter meadow;meadow;;;;;40.646;;;
HP_537;537;537;267.0233859;8.514146739;47.42574859;05.06.1894;1894;ZH;Zürich;440;6;537;4.2;3.666666667;3;3.6;3.1;2.6;;;clay;;;;;;;no;;;;litter meadow;meadow;;Q43; Tall-sedge base-rich fen;1;54.337;C.6 Mires and springs ;Scheuchzerio palustris-Caricetea fuscae;Caricetalia davallianae
HP_538;538;538;175.6156349;8.529216869;47.35295002;829;1902;ZH;Zürich;450;9;538;3.4375;3.5;3.875;3;3.285714286;2.714285714;;;humic, black;2;;;;;;yes;;slurry;;fruit orchard;meadow;;R55; Lowland moist or wet tall-herb and fern fringe;1;19.656;E.2 Ruderal communities/E.1 Tall forb communities;;
HP_539;539;471;152.2690661;8.549312534;47.37871888;09.07.1884;1884;ZH;Zürich;460;8;539;3;3.285714286;3.428571429;4;3.428571429;3;0.5;;humus-rich, profound, mild clay;;;;;gentle slope;SW;yes;;slurry;;alternating meadow;meadow;;R21; Mesic permanent pasture of lowlands and mountains;1;56.432;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Poo alpinae-Trisetetalia
HP_540;540;471;152.2690661;8.549312534;47.37871888;05.06.1885;1885;ZH;Zürich;460;16;540;3.066666667;3.066666667;3.666666667;3.866666667;3.266666667;2.866666667;;1. cut;humus-rich, profound, mild clay;;;;;gentle slope;SW;yes;;slurry;;meadow;meadow;;R22; Low and medium altitude hay meadow;3;119.335;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_541;541;471;152.2690661;8.549312534;47.37871888;09.07.1884;1884;ZH;Zürich;460;10;541;3.111111111;3;3.666666667;4;3.444444444;2.777777778;;;humus-rich, profound, mild clay;;;;;gentle slope;SW;yes;;slurry;;alternating meadow;meadow;;R22; Low and medium altitude hay meadow;3;36.564;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_542;542;542;518.4716902;8.553062574;47.40996619;1236;1903;ZH;Zürich;;7;542;4.25;2.833333333;2.333333333;3.5;3.2;2.833333333;;;peat (fen);;;;;;;no;;;;litter meadow;meadow;;Qb;;1;40.763;;;
HP_543;543;543;37.87889566;8.551036276;47.37716877;07.10.1899;1899;ZH;Zürich;460;4;543;2.833333333;3.333333333;4;3.333333333;3.666666667;3.333333333;;;humic loam;;;;;;;yes;;manure and slurry;;meadow;meadow;;V37; Annual anthropogenic herbaceous vegetation;1;7.347;E.2 Ruderal communities;;
HP_544;544;543;37.87889566;8.551036276;47.37716877;01.06.1899;1899;ZH;Zürich;470;3;544;2.833333333;3.333333333;4;3.333333333;3.666666667;3.333333333;;;humic loam;;;;fresh;;;yes;;stable manure and slurry;;meadow;meadow;;V37; Annual anthropogenic herbaceous vegetation;1;93.765;E.2 Ruderal communities;;
HP_545;545;443;151.1394388;8.550383141;47.37420228;20.04.1886;1886;ZH;Zürich;460;22;545;3.047619048;3.238095238;3.523809524;3.619047619;3.225;3.15;;;mild clay;;diluvium;;;;;;;slurry;;fruit orchard;meadow;;R22; Low and medium altitude hay meadow;1;27.771;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_546;546;546;205.976334;8.560285251;47.38387165;878;1902;ZH;Zürich;600;12;546;3.1;3.272727273;3.7;3.363636364;3.388888889;3.222222222;;;humic, stony loam;0;;;;;;yes;;slurry;;meadow;meadow;;R22; Low and medium altitude hay meadow;1;23.231;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_547;547;547;170.0822802;8.562908589;47.38586133;14.06.1899;1899;ZH;Zürich;650;5;547;3;3;3;1.75;3.625;3;;;stony loam;1;;;dry;;;no;;;;forest ;;;R23; Mountain hay meadow;2;17.079;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_548;548;548;1607.012963;8.578043733;47.41035397;17.10.1894;1894;ZH;Zürich;430;13;548;3.541666667;3.083333333;2.416666667;3.615384615;3;3.083333333;;;boggy;;;;marshy;;;;;;;litter meadow;meadow;;;;1;17.096;;;
HP_549;549;548;1607.012963;8.578043733;47.41035397;17.10.1894;1894;ZH;Zürich;430;7;549;3.428571429;3.571428571;3.714285714;3.428571429;3.571428571;3;;;boggy;;;;drained;;;yes;;;;litter meadow;meadow;;R22; Low and medium altitude hay meadow;1;58.7;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_550;550;550;158.6306904;8.570309653;47.38305166;886;1902;ZH;Zürich;630;8;550;3.214285714;3.285714286;3.571428571;2.857142857;3.214285714;2.857142857;2;;loam;2;Quatracene;;;;;yes;every 2nd year;stable manure, often slurry;;meadow;meadow;;R55; Lowland moist or wet tall-herb and fern fringe;1;28.878;E.2 Ruderal communities/E.1 Tall forb communities;;
HP_551;551;550;158.6306904;8.570309653;47.38305166;886;1902;ZH;Zürich;630;7;551;3.166666667;3;3.666666667;3.5;2.833333333;3;2;;very stony loam, glacial detritus (Quaternary);2;;;;;;yes;every 2nd year;manure, slurry;;meadow;meadow;;R21; Mesic permanent pasture of lowlands and mountains;1;22.912;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Poo alpinae-Trisetetalia
HP_552;552;552;149.2040541;8.586815579;47.39337591;882;1902;ZH;Zürich;470;27;552;3.038461538;3.269230769;3.28;3.444444444;3.19047619;3.125;2;;humic loam;0;;;;;;yes;every 2nd year?;stable manure;;meadow;meadow;;R22; Low and medium altitude hay meadow;1;17.228;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_553;553;553;425.9636494;8.585481819;47.37430172;06.10.1892;1892;ZH;Zürich;650;25;553;2.891304348;3.090909091;2.608695652;3.72;3.236842105;3.142857143;;;clay, impermeable;;;;;;;;;;;litter meadow;meadow;;;;;30.176;;;
HP_554;554;554;602.7075613;7.962168614;46.58268566;11170;1930;BE;Grindelwald/Lauterbrunnen;2061;18;554;2.916666667;2.75;2.529411765;3.944444444;2;3;;;;;;;;;;;;;;;;;R43; Temperate acidophilous alpine grassland;3;29.611;A.1 Alpine grasslands;Juncetea trifidi;
HP_555;555;555;531.6922545;7.543994153;47.26210867;11497;1931;SO;Balm bei Günsberg;1000;17;555;2.714285714;2.9375;2.785714286;3.6875;3.291666667;3.142857143;;;;;;;;;;;;;;;;;R22; Low and medium altitude hay meadow;1;46.927;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_556;556;555;531.6922545;7.543994153;47.26210867;11497;1931;SO;Balm bei Günsberg;1000;37;556;2.590909091;3.147058824;2.575757576;3.676470588;3.120689655;3.15625;;;;;;;;;;;;;;pasture;pasture;;R22; Low and medium altitude hay meadow;1;46.978;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_557;557;554;602.7075613;7.962168614;46.58268566;11170;1930;BE;Grindelwald/Lauterbrunnen;2061;20;557;2.833333333;2.647058824;2.5;3.842105263;1.941176471;3;;;;;;;;;;;;;;pasture;pasture;;R43; Temperate acidophilous alpine grassland;1;35.305;A.1 Alpine grasslands;Juncetea trifidi;
HP_558;558;558;1334.677868;9.628355148;47.45393465;19.06.1896;1896;SG;St. Margrethen;408;19;558;3.34375;3.25;2.5625;3.352941176;3.433333333;3.2;;;clay;;;;;;;;;;;litter meadow;meadow;;R37; Temperate and boreal moist or wet oligotrophic grassland;1;NA;B.4 Wet grasslands;Molinio-Arrhenatheretea;Molinietalia caeruleae
HP_560;560;560;910.3800152;8.746944757;47.29775515;03.07.1895;1895;ZH;Gossau;450;13;560;3.807692308;3.076923077;3;3.307692308;3.375;3;;;clay;;;;irrigated;;;;;;;litter meadow;meadow;;Q53; Tall-sedge bed;1;NA;C.5 Reed beds and shore vegetation ;Phragmito-Magnocaricetea;Magnocaricetalia
HP_561;561;446;295.7493292;8.781840631;47.23556011;06.06.1894;1894;ZH;Hombrechtikon;410;16;561;4.2;3.285714286;2.466666667;3.666666667;3.423076923;2.866666667;;;30cm peat on gravel and sand;;;;;;;;;;;litter meadow;meadow;;Q53; Tall-sedge bed;1;30.37;C.5 Reed beds and shore vegetation ;Phragmito-Magnocaricetea;Magnocaricetalia
HP_562;562;562;456.6930757;8.607353285;47.37562015;901;1902;ZH;Dübendorf;595;33;562;3.080645161;3.125;3.161290323;3.5;3.189655172;2.967741935;;;;;;;;;;;;;;;;;R22; Low and medium altitude hay meadow;3;NA;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_563;563;562;456.6930757;8.607353285;47.37562015;901;1902;ZH;Dübendorf;595;33;563;3.033333333;3.133333333;3.3;3.548387097;3.240740741;3.034482759;;;;;;;;;;;;;;;;;R22; Low and medium altitude hay meadow;1;NA;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_564;564;562;456.6930757;8.607353285;47.37562015;951;1902;ZH;Dübendorf;595;30;564;3.089285714;2.965517241;3.178571429;3.517241379;3.173076923;3;;;;;;;;;;;;;;;;;R22; Low and medium altitude hay meadow;1;NA;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_565;565;562;456.6930757;8.607353285;47.37562015;951;1902;ZH;Dübendorf;595;29;565;3.074074074;3.035714286;3.222222222;3.678571429;3.229166667;3.076923077;;;;;;;;;;;;;;;;;R22; Low and medium altitude hay meadow;1;NA;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_566;566;173;1166.211475;9.617280449;46.58372289;1904 or 1907?;1904 or 1907?;GR;Tinzen;1240;12;566;3;3.272727273;3.545454545;3.636363636;3.409090909;3;;;;;;;;;;yes;;;;meadow;meadow;;R22; Low and medium altitude hay meadow;1;NA;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_567;567;173;1166.211475;9.617280449;46.58372289;1904 or 1907?;1904 or 1907?;GR;Tinzen;1240;14;567;2.636363636;3.461538462;3.416666667;3.846153846;3.318181818;3.272727273;;;;;;;;;;yes;;;;home meadow;meadow;;;;1;NA;;;
HP_568;568;568;164.5400059;8.568080144;47.35056404;884;1902;ZH;Zürich;465;10;568;2.888888889;3.222222222;3.888888889;3.666666667;3.5;3.222222222;;;humic loam;;;under a large Theilers pear tree;;;;;;;;;;;R22; Low and medium altitude hay meadow;1;NA;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_569;569;515;169.4625338;8.552008052;47.37661162;01.06.1899;1899;ZH;Zürich;460;3;569;2.833333333;3.333333333;4;3.333333333;3.666666667;3.333333333;;;humic loam;;;in a tree garden;;;;yes;;;;;;;V37; Annual anthropogenic herbaceous vegetation;1;NA;E.2 Ruderal communities;;
HP_570;570;515;169.4625338;8.552008052;47.37661162;879;1902;ZH;Zürich;460;12;570;3.181818182;3.090909091;3.909090909;3.545454545;3.3;2.9;;;humic loam;;;under a large pear tree;;;;;;;;;;;R22; Low and medium altitude hay meadow;1;NA;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_571;571;571;141.6518379;8.501412599;47.35293775;879;1902;ZH;Zürich;470;20;571;2.868421053;3.157894737;3.684210526;3.526315789;3.416666667;3.157894737;;;loam;;;under a mighty pear tree;fresh;;;;;;;;;;R22; Low and medium altitude hay meadow;1;NA;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_572;572;572;623.4178627;8.572568419;47.38313698;886;1902;ZH;Zürich;600;11;572;3.2;3.181818182;3.7;3.363636364;3.35;2.9;;;;;;under a Theilers pear tree with low hanging branches;;;;;;;;meadow;meadow;;R22; Low and medium altitude hay meadow;1;NA;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_573;573;515;169.4625338;8.552008052;47.37661162;879;1902;ZH;Zürich;460;10;573;3.333333333;3.222222222;4;3.555555556;3.4375;2.875;;;fat, humic loam;;;under a pear tree;;;;;;;;;;;R21; Mesic permanent pasture of lowlands and mountains;3;NA;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Poo alpinae-Trisetetalia
HP_574;574;515;169.4625338;8.552008052;47.37661162;879;1902;ZH;Zürich;460;13;574;2.954545455;3.083333333;3.727272727;3.75;3.090909091;3.090909091;;;;;;sunny;;;;;;;;;;;R21; Mesic permanent pasture of lowlands and mountains;1;NA;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Poo alpinae-Trisetetalia
HP_575;575;515;169.4625338;8.552008052;47.37661162;879;1902;ZH;Zürich;460;9;575;3.125;3.25;4;3.5;3.4375;3;;;;;;under a large pear tree;;;;;;;;;;;R21; Mesic permanent pasture of lowlands and mountains;3;NA;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Poo alpinae-Trisetetalia
HP_576;576;576;444.5031978;8.568919094;47.35558019;884;1902;ZH;Zürich;470;9;576;3.166666667;3.111111111;3.888888889;3.666666667;3.5;3;;;humic loam;;;under a Theilers pear tree;;;;;;;;;;;R22; Low and medium altitude hay meadow;1;NA;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_577;577;577;1305.704412;8.529428627;47.34243914;885;1902;ZH;Zürich;430;27;577;3.14;3.16;3.6;3.5;3.260869565;3;;1. cut;sandy loam;;;shady stock;;;E;yes;;;;;;;R22; Low and medium altitude hay meadow;1;NA;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_578;578;577;1305.704412;8.529428627;47.34243914;885;1902;ZH;Zürich;430;24;578;3;3.217391304;3.5;3.52173913;3.261904762;3.136363636;;2. cut;sandy loam;;;shady stock;;;E;yes;;;;;;;R22; Low and medium altitude hay meadow;1;NA;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_579;579;577;1305.704412;8.529428627;47.34243914;885;1902;ZH;Zürich;430;27;579;3.02;3.153846154;3.56;3.538461538;3.217391304;3.083333333;;1. cut;sandy loam;;;Insolated stock;;;E;yes;;;;;;;R22; Low and medium altitude hay meadow;1;NA;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_580;580;577;1305.704412;8.529428627;47.34243914;885;1902;ZH;Zürich;430;26;580;2.979166667;3.2;3.416666667;3.56;3.295454545;3.125;;2. cut;sandy loam;;;Insolated stock;;;E;yes;;;;;;;R22; Low and medium altitude hay meadow;1;NA;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_581;581;581;1752.551507;8.779574085;47.24469229;02.06.1899;1899;ZH;Hombrechtikon;465;14;581;3.153846154;3.384615385;3.692307692;3.384615385;3.230769231;3;;;humic loam;2;;under a Theilers pear tree;;;;;;;;;;;R55; Lowland moist or wet tall-herb and fern fringe;1;NA;E.2 Ruderal communities/E.1 Tall forb communities;;
HP_582;582;581;1752.551507;8.779574085;47.24469229;02.06.1899;1899;ZH;Hombrechtikon;465;24;582;3.136363636;3.086956522;3.590909091;3.47826087;3.236842105;3;;;humic loam;2;;sunny;;;;;;;;;;;R22; Low and medium altitude hay meadow;1;NA;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_584;584;584;365.4293856;8.559753891;47.40507983;882;1902;ZH;Zürich;460;4;584;3.625;3.25;4;2.5;3.375;2.75;;;;;;under a large Theilers pear tree;;;;;;;;;;;R55; Lowland moist or wet tall-herb and fern fringe;1;NA;E.2 Ruderal communities/E.1 Tall forb communities;;
HP_585;585;585;536.672817;9.597678657;46.895044;921;1902;GR;Trimmis;1500;17;585;3.09375;2.533333333;2.533333333;3.125;2.366666667;3.066666667;1;;stony loam;;;in a closed ring of old spruces;;;;;;;;;;;R35;Moist-or-wet-mesotrophic-to-eutrophic-hay-meadow;3;NA;B.4 Wet grasslands;Molinio-Arrhenatheretea;Molinietalia caeruleae
HP_586;586;585;536.672817;9.597678657;46.895044;921;1902;GR;Trimmis;1500;36;586;2.90625;2.870967742;2.451612903;3.5625;2.566666667;3.066666667;1;;stony loam;;;in a closed ring of larches;;;;;;;;;;;R21; Mesic permanent pasture of lowlands and mountains;1;NA;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Poo alpinae-Trisetetalia
HP_587;587;587;255.280254;9.607903131;46.88410436;961;1902;GR;Trimmis;1650;9;587;2.928571429;2.125;2;3.375;2;3.142857143;;;stony loam;;;Stand at the edge of a spruce forest, open towards NNO;;;;;;;;;;;R43; Temperate acidophilous alpine grassland;3;NA;A.1 Alpine grasslands;Juncetea trifidi;
HP_588;588;587;255.280254;9.607903131;46.88410436;961;1902;GR;Trimmis;1650;14;588;3;2.692307692;2.727272727;3.538461538;2.636363636;3;;;stony loam;;;20m from the edge of the forest;;;;;;;;;;;R23; Mountain hay meadow;2;NA;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_589;589;589;343.1052094;8.49476438;47.3450675;142;1900;ZH;Zürich;780;7;589;2.785714286;3.6;2.714285714;2.666666667;3.428571429;3.166666667;;;humic loam;;;on the edge of a beech forest;fresh;;;;;;;;;;;;1;NA;;;
HP_590;590;590;469.7884651;9.14965233;46.72495418;14.07.1899;1899;GR?;Villa;1700;13;590;2.875;2.666666667;2.416666667;2.923076923;2.7;2.727272727;;;humus;;; under a spruce in the light forest;;;;;;;;;;;U2a;Siliceous-high-mountain-scree;3;NA;;;
