HP_name;PlotID_2;PAG;Precision;Center_x_coordinate;Center_y_coordinate;Date;Year;Canton;Municipality;Altitude_original;Species_richness;SqFt_ID;F;R;N;L;T;K;Nr_cuts;Nr_cuts_before_record;Soil;Content_of_Ca;Bedrock;Light_cond;Water_balance;Inclination;Exposition;Fertil_y_n;Fertil_frequ;Fertil_type;Fertil_treatment;Land_use;Land_use_2;Grazing_animal;EUNIS_class;EUNIS_habitat name;Type_of_classification;Total_biomass;vegetation type;Class (Mucina et al. 2016);Order (Mucina et al. 2016)
HP_448;448;448;267.3699948;8.777883361;47.23457324;06.06.1894;1894;ZH;Hombrechtikon;410;16;448;4.233333333;3.461538462;2.8;3.733333333;3.285714286;3.066666667;;;lake sludge;;;;;;;;;;;litter meadow;meadow;;;;1;31.866;;;
HP_449;449;449;117.5614962;8.769447503;47.2396887;545;1901;ZH;Hombrechtikon;450;13;449;4.333333333;3.545454545;2.5;3.833333333;3.125;2.833333333;;;peat, fen, former peat cutting;;;;;;;;;;;litter meadow;meadow;;;;1;29.732;;;
HP_451;451;451;184.4030109;8.772268601;47.24504694;121;1900;ZH;Hombrechtikon;470;13;451;3.153846154;3.384615385;3.615384615;3.384615385;3.333333333;2.916666667;;;humic loam;;;;;;;yes;;slurry;;meadow;meadow;;R21; Mesic permanent pasture of lowlands and mountains;3;20.498;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Poo alpinae-Trisetetalia
HP_452;452;452;270.8795285;8.774717268;47.24367458;31.05.1899;1899;ZH;Hombrechtikon;465;11;452;3.1;3.2;3.8;3.1;3.35;3;;;humic loam;3;;;fresh;;;yes;;stable manure, slurry;;meadow;meadow;;R55; Lowland moist or wet tall-herb and fern fringe;1;14.16;E.2 Ruderal communities/E.1 Tall forb communities;;
HP_453;453;452;270.8795285;8.774717268;47.24367458;31.05.1899;1899;ZH;Hombrechtikon;465;19;453;3.055555556;3.166666667;3.611111111;3.555555556;3.323529412;3.117647059;;;humic loam;3;;;fresh;;;;;;;meadow;meadow;;R22; Low and medium altitude hay meadow;1;28.202;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_454;454;454;137.216632;8.773349055;47.23967607;29.05.1895;1895;ZH;Hombrechtikon;470;11;454;2.318181818;3.6;2.636363636;3.363636364;3.555555556;3.444444444;;;light humus;;polygene conglomerate;;;;;no;;;;;;;R1A; Semi-dry perennial calcareous grassland (meadow steppe);1;14.945;B.2 Meso-xeric grasslands;Festuco-Brometea;Brachypodietalia pinnati
HP_455;455;455;300.8530613;8.787000394;47.24079569;886;1902;ZH;Hombrechtikon;440;12;455;3;3.083333333;3.727272727;3.5;3.090909091;3.090909091;;;humic loam;;;;;;;;;;;meadow;meadow;;R22; Low and medium altitude hay meadow;1;NA;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_456;456;455;300.8530613;8.787000394;47.24079569;886;1902;ZH;Hombrechtikon;440;11;456;3.2;3.2;3.9;3.5;3.3;2.8;;;humic loam;;;;;;;;;;;meadow;meadow;;R21; Mesic permanent pasture of lowlands and mountains;3;NA;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Poo alpinae-Trisetetalia
HP_459;459;459;564.45586;8.665728147;47.17358199;12.08.1899;1899;ZH;Hütten;775;11;459;2.85;2.4;2.2;3.3;3.125;3;;;loam;;moraine;;;;;;;;;meadow;meadow;;R23; Mountain hay meadow;2;9.555;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_460;460;459;564.45586;8.665728147;47.17358199;12.08.1899;1899;ZH;Hütten;775;13;460;3;3.166666667;3.416666667;3.583333333;3.5;3;;;loam;;;;;;;;;;;;;;R22; Low and medium altitude hay meadow;1;26.377;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
